Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.476
Done: 20000 / 200000. Loss: 0.4619
Done: 30000 / 200000. Loss: 0.3954
Done: 40000 / 200000. Loss: 0.391
Done: 50000 / 200000. Loss: 0.41
Done: 60000 / 200000. Loss: 0.3415
Done: 70000 / 200000. Loss: 0.3543
Done: 80000 / 200000. Loss: 0.349
Done: 90000 / 200000. Loss: 0.3603
Done: 100000 / 200000. Loss: 0.3345
Done: 110000 / 200000. Loss: 0.3218
Done: 120000 / 200000. Loss: 0.3285
Done: 130000 / 200000. Loss: 0.313
Done: 140000 / 200000. Loss: 0.3272
Done: 150000 / 200000. Loss: 0.3003
Done: 160000 / 200000. Loss: 0.3367
Done: 170000 / 200000. Loss: 0.3277
Done: 180000 / 200000. Loss: 0.3189
Done: 190000 / 200000. Loss: 0.3497
Done: 200000 / 200000. Loss: 0.3102
