Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3583
Done: 20000 / 200000. Loss: 0.3714
Done: 30000 / 200000. Loss: 0.2418
Done: 40000 / 200000. Loss: 0.2362
Done: 50000 / 200000. Loss: 0.2377
Done: 60000 / 200000. Loss: 0.1268
Done: 70000 / 200000. Loss: 0.1185
Done: 80000 / 200000. Loss: 0.1261
Done: 90000 / 200000. Loss: 0.1217
Done: 100000 / 200000. Loss: 0.1227
Done: 110000 / 200000. Loss: 0.053
Done: 120000 / 200000. Loss: 0.0512
Done: 130000 / 200000. Loss: 0.0499
Done: 140000 / 200000. Loss: 0.0473
Done: 150000 / 200000. Loss: 0.0466
Done: 160000 / 200000. Loss: 0.0445
Done: 170000 / 200000. Loss: 0.0461
Done: 180000 / 200000. Loss: 0.0433
Done: 190000 / 200000. Loss: 0.0429
Done: 200000 / 200000. Loss: 0.0416
