Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.1547
Done: 20000 / 200000. Loss: 0.1408
Done: 30000 / 200000. Loss: 0.1472
Done: 40000 / 200000. Loss: 0.1432
Done: 50000 / 200000. Loss: 0.1428
Done: 60000 / 200000. Loss: 0.1317
Done: 70000 / 200000. Loss: 0.1366
Done: 80000 / 200000. Loss: 0.1351
Done: 90000 / 200000. Loss: 0.1331
Done: 100000 / 200000. Loss: 0.1327
Done: 110000 / 200000. Loss: 0.1298
Done: 120000 / 200000. Loss: 0.1336
Done: 130000 / 200000. Loss: 0.1336
Done: 140000 / 200000. Loss: 0.1351
Done: 150000 / 200000. Loss: 0.1355
Done: 160000 / 200000. Loss: 0.1316
Done: 170000 / 200000. Loss: 0.1243
Done: 180000 / 200000. Loss: 0.1273
Done: 190000 / 200000. Loss: 0.13
Done: 200000 / 200000. Loss: 0.1285
