Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3937
Done: 20000 / 200000. Loss: 0.3736
Done: 30000 / 200000. Loss: 0.406
Done: 40000 / 200000. Loss: 0.3702
Done: 50000 / 200000. Loss: 0.393
Done: 60000 / 200000. Loss: 0.3587
Done: 70000 / 200000. Loss: 0.3719
Done: 80000 / 200000. Loss: 0.3767
Done: 90000 / 200000. Loss: 0.3537
Done: 100000 / 200000. Loss: 0.3356
Done: 110000 / 200000. Loss: 0.3411
Done: 120000 / 200000. Loss: 0.3425
Done: 130000 / 200000. Loss: 0.3328
Done: 140000 / 200000. Loss: 0.304
Done: 150000 / 200000. Loss: 0.316
Done: 160000 / 200000. Loss: 0.2966
Done: 170000 / 200000. Loss: 0.3066
Done: 180000 / 200000. Loss: 0.2935
Done: 190000 / 200000. Loss: 0.2997
Done: 200000 / 200000. Loss: 0.2988
