Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3753
Done: 20000 / 200000. Loss: 0.3671
Done: 30000 / 200000. Loss: 0.3734
Done: 40000 / 200000. Loss: 0.3638
Done: 50000 / 200000. Loss: 0.3678
Done: 60000 / 200000. Loss: 0.3689
Done: 70000 / 200000. Loss: 0.3641
Done: 80000 / 200000. Loss: 0.364
Done: 90000 / 200000. Loss: 0.3647
Done: 100000 / 200000. Loss: 0.3632
Done: 110000 / 200000. Loss: 0.3607
Done: 120000 / 200000. Loss: 0.3611
Done: 130000 / 200000. Loss: 0.3616
Done: 140000 / 200000. Loss: 0.3667
Done: 150000 / 200000. Loss: 0.3619
Done: 160000 / 200000. Loss: 0.3624
Done: 170000 / 200000. Loss: 0.3673
Done: 180000 / 200000. Loss: 0.3668
Done: 190000 / 200000. Loss: 0.3575
Done: 200000 / 200000. Loss: 0.3602
