Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.149
Done: 20000 / 200000. Loss: 0.1477
Done: 30000 / 200000. Loss: 0.1532
Done: 40000 / 200000. Loss: 0.1399
Done: 50000 / 200000. Loss: 0.1408
Done: 60000 / 200000. Loss: 0.136
Done: 70000 / 200000. Loss: 0.1424
Done: 80000 / 200000. Loss: 0.1391
Done: 90000 / 200000. Loss: 0.1415
Done: 100000 / 200000. Loss: 0.1342
Done: 110000 / 200000. Loss: 0.1367
Done: 120000 / 200000. Loss: 0.1318
Done: 130000 / 200000. Loss: 0.134
Done: 140000 / 200000. Loss: 0.1248
Done: 150000 / 200000. Loss: 0.1228
Done: 160000 / 200000. Loss: 0.1393
Done: 170000 / 200000. Loss: 0.1331
Done: 180000 / 200000. Loss: 0.1304
Done: 190000 / 200000. Loss: 0.1181
Done: 200000 / 200000. Loss: 0.1236
