Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3267
Done: 20000 / 200000. Loss: 0.3435
Done: 30000 / 200000. Loss: 0.3326
Done: 40000 / 200000. Loss: 0.3607
Done: 50000 / 200000. Loss: 0.342
Done: 60000 / 200000. Loss: 0.3456
Done: 70000 / 200000. Loss: 0.3096
Done: 80000 / 200000. Loss: 0.2851
Done: 90000 / 200000. Loss: 0.3069
Done: 100000 / 200000. Loss: 0.3017
Done: 110000 / 200000. Loss: 0.2859
Done: 120000 / 200000. Loss: 0.2863
Done: 130000 / 200000. Loss: 0.2948
Done: 140000 / 200000. Loss: 0.3134
Done: 150000 / 200000. Loss: 0.2993
Done: 160000 / 200000. Loss: 0.2787
Done: 170000 / 200000. Loss: 0.2758
Done: 180000 / 200000. Loss: 0.2815
Done: 190000 / 200000. Loss: 0.2906
Done: 200000 / 200000. Loss: 0.2882
