Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3896
Done: 20000 / 200000. Loss: 0.3913
Done: 30000 / 200000. Loss: 0.397
Done: 40000 / 200000. Loss: 0.3808
Done: 50000 / 200000. Loss: 0.3628
Done: 60000 / 200000. Loss: 0.3701
Done: 70000 / 200000. Loss: 0.1412
Done: 80000 / 200000. Loss: 0.1488
Done: 90000 / 200000. Loss: 0.1379
Done: 100000 / 200000. Loss: 0.1336
Done: 110000 / 200000. Loss: 0.1432
Done: 120000 / 200000. Loss: 0.1451
Done: 130000 / 200000. Loss: 0.1325
Done: 140000 / 200000. Loss: 0.0649
Done: 150000 / 200000. Loss: 0.0637
Done: 160000 / 200000. Loss: 0.0624
Done: 170000 / 200000. Loss: 0.0651
Done: 180000 / 200000. Loss: 0.0612
Done: 190000 / 200000. Loss: 0.0615
Done: 200000 / 200000. Loss: 0.0564
