Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0923
Done: 20000 / 200000. Loss: 0.0755
Done: 30000 / 200000. Loss: 0.0699
Done: 40000 / 200000. Loss: 0.066
Done: 50000 / 200000. Loss: 0.0644
Done: 60000 / 200000. Loss: 0.064
Done: 70000 / 200000. Loss: 0.0625
Done: 80000 / 200000. Loss: 0.0614
Done: 90000 / 200000. Loss: 0.0583
Done: 100000 / 200000. Loss: 0.0573
Done: 110000 / 200000. Loss: 0.0577
Done: 120000 / 200000. Loss: 0.0571
Done: 130000 / 200000. Loss: 0.0559
Done: 140000 / 200000. Loss: 0.0537
Done: 150000 / 200000. Loss: 0.0523
Done: 160000 / 200000. Loss: 0.0547
Done: 170000 / 200000. Loss: 0.0535
Done: 180000 / 200000. Loss: 0.0529
Done: 190000 / 200000. Loss: 0.051
Done: 200000 / 200000. Loss: 0.0527
