Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2525
Done: 20000 / 200000. Loss: 0.2369
Done: 30000 / 200000. Loss: 0.2356
Done: 40000 / 200000. Loss: 0.235
Done: 50000 / 200000. Loss: 0.2229
Done: 60000 / 200000. Loss: 0.2292
Done: 70000 / 200000. Loss: 0.1894
Done: 80000 / 200000. Loss: 0.1832
Done: 90000 / 200000. Loss: 0.1598
Done: 100000 / 200000. Loss: 0.1482
Done: 110000 / 200000. Loss: 0.1326
Done: 120000 / 200000. Loss: 0.1238
Done: 130000 / 200000. Loss: 0.113
Done: 140000 / 200000. Loss: 0.0907
Done: 150000 / 200000. Loss: 0.0804
Done: 160000 / 200000. Loss: 0.0691
Done: 170000 / 200000. Loss: 0.0616
Done: 180000 / 200000. Loss: 0.0579
Done: 190000 / 200000. Loss: 0.0535
Done: 200000 / 200000. Loss: 0.057
