Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.1489
Done: 20000 / 200000. Loss: 0.1419
Done: 30000 / 200000. Loss: 0.1302
Done: 40000 / 200000. Loss: 0.1334
Done: 50000 / 200000. Loss: 0.1317
Done: 60000 / 200000. Loss: 0.1253
Done: 70000 / 200000. Loss: 0.1256
Done: 80000 / 200000. Loss: 0.1232
Done: 90000 / 200000. Loss: 0.1182
Done: 100000 / 200000. Loss: 0.1221
Done: 110000 / 200000. Loss: 0.1214
Done: 120000 / 200000. Loss: 0.1174
Done: 130000 / 200000. Loss: 0.121
Done: 140000 / 200000. Loss: 0.1172
Done: 150000 / 200000. Loss: 0.1183
Done: 160000 / 200000. Loss: 0.1201
Done: 170000 / 200000. Loss: 0.1154
Done: 180000 / 200000. Loss: 0.1157
Done: 190000 / 200000. Loss: 0.1143
Done: 200000 / 200000. Loss: 0.1184
