Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3846
Done: 20000 / 200000. Loss: 0.3797
Done: 30000 / 200000. Loss: 0.2456
Done: 40000 / 200000. Loss: 0.2429
Done: 50000 / 200000. Loss: 0.2478
Done: 60000 / 200000. Loss: 0.1361
Done: 70000 / 200000. Loss: 0.1405
Done: 80000 / 200000. Loss: 0.1401
Done: 90000 / 200000. Loss: 0.1343
Done: 100000 / 200000. Loss: 0.1369
Done: 110000 / 200000. Loss: 0.0674
Done: 120000 / 200000. Loss: 0.0647
Done: 130000 / 200000. Loss: 0.061
Done: 140000 / 200000. Loss: 0.0633
Done: 150000 / 200000. Loss: 0.0606
Done: 160000 / 200000. Loss: 0.0603
Done: 170000 / 200000. Loss: 0.0591
Done: 180000 / 200000. Loss: 0.0599
Done: 190000 / 200000. Loss: 0.0564
Done: 200000 / 200000. Loss: 0.0575
