Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2606
Done: 20000 / 200000. Loss: 0.252
Done: 30000 / 200000. Loss: 0.2407
Done: 40000 / 200000. Loss: 0.2515
Done: 50000 / 200000. Loss: 0.2378
Done: 60000 / 200000. Loss: 0.2403
Done: 70000 / 200000. Loss: 0.2387
Done: 80000 / 200000. Loss: 0.2403
Done: 90000 / 200000. Loss: 0.238
Done: 100000 / 200000. Loss: 0.2403
Done: 110000 / 200000. Loss: 0.2391
Done: 120000 / 200000. Loss: 0.2359
Done: 130000 / 200000. Loss: 0.2416
Done: 140000 / 200000. Loss: 0.2328
Done: 150000 / 200000. Loss: 0.2327
Done: 160000 / 200000. Loss: 0.2379
Done: 170000 / 200000. Loss: 0.236
Done: 180000 / 200000. Loss: 0.2325
Done: 190000 / 200000. Loss: 0.2282
Done: 200000 / 200000. Loss: 0.2354
