Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3784
Done: 20000 / 200000. Loss: 0.3787
Done: 30000 / 200000. Loss: 0.3758
Done: 40000 / 200000. Loss: 0.3684
Done: 50000 / 200000. Loss: 0.3705
Done: 60000 / 200000. Loss: 0.362
Done: 70000 / 200000. Loss: 0.1583
Done: 80000 / 200000. Loss: 0.1418
Done: 90000 / 200000. Loss: 0.14
Done: 100000 / 200000. Loss: 0.1413
Done: 110000 / 200000. Loss: 0.14
Done: 120000 / 200000. Loss: 0.1329
Done: 130000 / 200000. Loss: 0.1369
Done: 140000 / 200000. Loss: 0.0767
Done: 150000 / 200000. Loss: 0.073
Done: 160000 / 200000. Loss: 0.074
Done: 170000 / 200000. Loss: 0.0712
Done: 180000 / 200000. Loss: 0.0699
Done: 190000 / 200000. Loss: 0.0676
Done: 200000 / 200000. Loss: 0.0676
