Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0985
Done: 20000 / 200000. Loss: 0.0839
Done: 30000 / 200000. Loss: 0.0755
Done: 40000 / 200000. Loss: 0.0709
Done: 50000 / 200000. Loss: 0.0703
Done: 60000 / 200000. Loss: 0.0659
Done: 70000 / 200000. Loss: 0.0642
Done: 80000 / 200000. Loss: 0.0641
Done: 90000 / 200000. Loss: 0.062
Done: 100000 / 200000. Loss: 0.0607
Done: 110000 / 200000. Loss: 0.0595
Done: 120000 / 200000. Loss: 0.0613
Done: 130000 / 200000. Loss: 0.0611
Done: 140000 / 200000. Loss: 0.0596
Done: 150000 / 200000. Loss: 0.0564
Done: 160000 / 200000. Loss: 0.0565
Done: 170000 / 200000. Loss: 0.0558
Done: 180000 / 200000. Loss: 0.0541
Done: 190000 / 200000. Loss: 0.0555
Done: 200000 / 200000. Loss: 0.0544
