Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3755
Done: 20000 / 200000. Loss: 0.3627
Done: 30000 / 200000. Loss: 0.3687
Done: 40000 / 200000. Loss: 0.3573
Done: 50000 / 200000. Loss: 0.3517
Done: 60000 / 200000. Loss: 0.3438
Done: 70000 / 200000. Loss: 0.306
Done: 80000 / 200000. Loss: 0.2754
Done: 90000 / 200000. Loss: 0.2659
Done: 100000 / 200000. Loss: 0.238
Done: 110000 / 200000. Loss: 0.2169
Done: 120000 / 200000. Loss: 0.1787
Done: 130000 / 200000. Loss: 0.1556
Done: 140000 / 200000. Loss: 0.1529
Done: 150000 / 200000. Loss: 0.1198
Done: 160000 / 200000. Loss: 0.0947
Done: 170000 / 200000. Loss: 0.076
Done: 180000 / 200000. Loss: 0.0661
Done: 190000 / 200000. Loss: 0.0675
Done: 200000 / 200000. Loss: 0.0632
