Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2441
Done: 20000 / 200000. Loss: 0.2295
Done: 30000 / 200000. Loss: 0.2175
Done: 40000 / 200000. Loss: 0.2176
Done: 50000 / 200000. Loss: 0.2075
Done: 60000 / 200000. Loss: 0.1968
Done: 70000 / 200000. Loss: 0.1798
Done: 80000 / 200000. Loss: 0.1804
Done: 90000 / 200000. Loss: 0.1619
Done: 100000 / 200000. Loss: 0.1626
Done: 110000 / 200000. Loss: 0.1448
Done: 120000 / 200000. Loss: 0.1399
Done: 130000 / 200000. Loss: 0.1265
Done: 140000 / 200000. Loss: 0.1176
Done: 150000 / 200000. Loss: 0.1059
Done: 160000 / 200000. Loss: 0.097
Done: 170000 / 200000. Loss: 0.0885
Done: 180000 / 200000. Loss: 0.0753
Done: 190000 / 200000. Loss: 0.0656
Done: 200000 / 200000. Loss: 0.0577
