Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3756
Done: 20000 / 200000. Loss: 0.3742
Done: 30000 / 200000. Loss: 0.3663
Done: 40000 / 200000. Loss: 0.37
Done: 50000 / 200000. Loss: 0.3685
Done: 60000 / 200000. Loss: 0.3543
Done: 70000 / 200000. Loss: 0.1434
Done: 80000 / 200000. Loss: 0.1422
Done: 90000 / 200000. Loss: 0.1409
Done: 100000 / 200000. Loss: 0.1372
Done: 110000 / 200000. Loss: 0.1412
Done: 120000 / 200000. Loss: 0.1415
Done: 130000 / 200000. Loss: 0.1347
Done: 140000 / 200000. Loss: 0.0754
Done: 150000 / 200000. Loss: 0.0719
Done: 160000 / 200000. Loss: 0.07
Done: 170000 / 200000. Loss: 0.0698
Done: 180000 / 200000. Loss: 0.0659
Done: 190000 / 200000. Loss: 0.0678
Done: 200000 / 200000. Loss: 0.0674
