Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.373
Done: 20000 / 200000. Loss: 0.376
Done: 30000 / 200000. Loss: 0.3954
Done: 40000 / 200000. Loss: 0.4087
Done: 50000 / 200000. Loss: 0.3931
Done: 60000 / 200000. Loss: 0.3728
Done: 70000 / 200000. Loss: 0.408
Done: 80000 / 200000. Loss: 0.4004
Done: 90000 / 200000. Loss: 0.3868
Done: 100000 / 200000. Loss: 0.3567
Done: 110000 / 200000. Loss: 0.3754
Done: 120000 / 200000. Loss: 0.3881
Done: 130000 / 200000. Loss: 0.38
Done: 140000 / 200000. Loss: 0.3957
Done: 150000 / 200000. Loss: 0.3684
Done: 160000 / 200000. Loss: 0.4068
Done: 170000 / 200000. Loss: 0.4031
Done: 180000 / 200000. Loss: 0.3837
Done: 190000 / 200000. Loss: 0.3847
Done: 200000 / 200000. Loss: 0.3746
