Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0996
Done: 20000 / 200000. Loss: 0.0874
Done: 30000 / 200000. Loss: 0.0801
Done: 40000 / 200000. Loss: 0.0811
Done: 50000 / 200000. Loss: 0.0732
Done: 60000 / 200000. Loss: 0.0757
Done: 70000 / 200000. Loss: 0.0697
Done: 80000 / 200000. Loss: 0.0718
Done: 90000 / 200000. Loss: 0.0665
Done: 100000 / 200000. Loss: 0.0695
Done: 110000 / 200000. Loss: 0.0661
Done: 120000 / 200000. Loss: 0.0635
Done: 130000 / 200000. Loss: 0.0647
Done: 140000 / 200000. Loss: 0.0636
Done: 150000 / 200000. Loss: 0.0637
Done: 160000 / 200000. Loss: 0.0597
Done: 170000 / 200000. Loss: 0.0609
Done: 180000 / 200000. Loss: 0.0595
Done: 190000 / 200000. Loss: 0.059
Done: 200000 / 200000. Loss: 0.0598
