Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3747
Done: 20000 / 200000. Loss: 0.3642
Done: 30000 / 200000. Loss: 0.3514
Done: 40000 / 200000. Loss: 0.3406
Done: 50000 / 200000. Loss: 0.3201
Done: 60000 / 200000. Loss: 0.3106
Done: 70000 / 200000. Loss: 0.2934
Done: 80000 / 200000. Loss: 0.2852
Done: 90000 / 200000. Loss: 0.245
Done: 100000 / 200000. Loss: 0.2276
Done: 110000 / 200000. Loss: 0.1999
Done: 120000 / 200000. Loss: 0.1693
Done: 130000 / 200000. Loss: 0.146
Done: 140000 / 200000. Loss: 0.1191
Done: 150000 / 200000. Loss: 0.097
Done: 160000 / 200000. Loss: 0.0738
Done: 170000 / 200000. Loss: 0.0592
Done: 180000 / 200000. Loss: 0.0494
Done: 190000 / 200000. Loss: 0.0439
Done: 200000 / 200000. Loss: 0.0414
