Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.4692
Done: 20000 / 200000. Loss: 0.4449
Done: 30000 / 200000. Loss: 0.4578
Done: 40000 / 200000. Loss: 0.4657
Done: 50000 / 200000. Loss: 0.433
Done: 60000 / 200000. Loss: 0.4848
Done: 70000 / 200000. Loss: 0.4374
Done: 80000 / 200000. Loss: 0.4598
Done: 90000 / 200000. Loss: 0.431
Done: 100000 / 200000. Loss: 0.4499
Done: 110000 / 200000. Loss: 0.4526
Done: 120000 / 200000. Loss: 0.4587
Done: 130000 / 200000. Loss: 0.4495
Done: 140000 / 200000. Loss: 0.4474
Done: 150000 / 200000. Loss: 0.4756
Done: 160000 / 200000. Loss: 0.4481
Done: 170000 / 200000. Loss: 0.4532
Done: 180000 / 200000. Loss: 0.467
Done: 190000 / 200000. Loss: 0.4384
Done: 200000 / 200000. Loss: 0.4539
