Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0954
Done: 20000 / 200000. Loss: 0.0858
Done: 30000 / 200000. Loss: 0.074
Done: 40000 / 200000. Loss: 0.0682
Done: 50000 / 200000. Loss: 0.066
Done: 60000 / 200000. Loss: 0.0654
Done: 70000 / 200000. Loss: 0.0622
Done: 80000 / 200000. Loss: 0.0587
Done: 90000 / 200000. Loss: 0.0567
Done: 100000 / 200000. Loss: 0.0552
Done: 110000 / 200000. Loss: 0.0528
Done: 120000 / 200000. Loss: 0.0546
Done: 130000 / 200000. Loss: 0.054
Done: 140000 / 200000. Loss: 0.0549
Done: 150000 / 200000. Loss: 0.0593
Done: 160000 / 200000. Loss: 0.053
Done: 170000 / 200000. Loss: 0.0503
Done: 180000 / 200000. Loss: 0.0517
Done: 190000 / 200000. Loss: 0.0518
Done: 200000 / 200000. Loss: 0.0491
