Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2299
Done: 20000 / 200000. Loss: 0.2051
Done: 30000 / 200000. Loss: 0.1905
Done: 40000 / 200000. Loss: 0.1751
Done: 50000 / 200000. Loss: 0.172
Done: 60000 / 200000. Loss: 0.1205
Done: 70000 / 200000. Loss: 0.1125
Done: 80000 / 200000. Loss: 0.0896
Done: 90000 / 200000. Loss: 0.0671
Done: 100000 / 200000. Loss: 0.0477
Done: 110000 / 200000. Loss: 0.048
Done: 120000 / 200000. Loss: 0.0452
Done: 130000 / 200000. Loss: 0.0439
Done: 140000 / 200000. Loss: 0.0432
Done: 150000 / 200000. Loss: 0.0424
Done: 160000 / 200000. Loss: 0.0438
Done: 170000 / 200000. Loss: 0.0399
Done: 180000 / 200000. Loss: 0.0424
Done: 190000 / 200000. Loss: 0.0386
Done: 200000 / 200000. Loss: 0.0385
