Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.38
Done: 20000 / 200000. Loss: 0.3824
Done: 30000 / 200000. Loss: 0.3346
Done: 40000 / 200000. Loss: 0.3209
Done: 50000 / 200000. Loss: 0.3058
Done: 60000 / 200000. Loss: 0.2978
Done: 70000 / 200000. Loss: 0.2922
Done: 80000 / 200000. Loss: 0.2677
Done: 90000 / 200000. Loss: 0.2664
Done: 100000 / 200000. Loss: 0.242
Done: 110000 / 200000. Loss: 0.2192
Done: 120000 / 200000. Loss: 0.1924
Done: 130000 / 200000. Loss: 0.1998
Done: 140000 / 200000. Loss: 0.1794
Done: 150000 / 200000. Loss: 0.1653
Done: 160000 / 200000. Loss: 0.1416
Done: 170000 / 200000. Loss: 0.1191
Done: 180000 / 200000. Loss: 0.1039
Done: 190000 / 200000. Loss: 0.0823
Done: 200000 / 200000. Loss: 0.0639
