Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2473
Done: 20000 / 200000. Loss: 0.2353
Done: 30000 / 200000. Loss: 0.2237
Done: 40000 / 200000. Loss: 0.2204
Done: 50000 / 200000. Loss: 0.2095
Done: 60000 / 200000. Loss: 0.1937
Done: 70000 / 200000. Loss: 0.1831
Done: 80000 / 200000. Loss: 0.1728
Done: 90000 / 200000. Loss: 0.1539
Done: 100000 / 200000. Loss: 0.1424
Done: 110000 / 200000. Loss: 0.1276
Done: 120000 / 200000. Loss: 0.1039
Done: 130000 / 200000. Loss: 0.0949
Done: 140000 / 200000. Loss: 0.0755
Done: 150000 / 200000. Loss: 0.0628
Done: 160000 / 200000. Loss: 0.0554
Done: 170000 / 200000. Loss: 0.0448
Done: 180000 / 200000. Loss: 0.0404
Done: 190000 / 200000. Loss: 0.0372
Done: 200000 / 200000. Loss: 0.0363
