Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2504
Done: 20000 / 200000. Loss: 0.2299
Done: 30000 / 200000. Loss: 0.228
Done: 40000 / 200000. Loss: 0.2152
Done: 50000 / 200000. Loss: 0.2036
Done: 60000 / 200000. Loss: 0.1895
Done: 70000 / 200000. Loss: 0.1875
Done: 80000 / 200000. Loss: 0.1808
Done: 90000 / 200000. Loss: 0.1664
Done: 100000 / 200000. Loss: 0.1637
Done: 110000 / 200000. Loss: 0.1495
Done: 120000 / 200000. Loss: 0.1384
Done: 130000 / 200000. Loss: 0.1346
Done: 140000 / 200000. Loss: 0.1234
Done: 150000 / 200000. Loss: 0.1103
Done: 160000 / 200000. Loss: 0.0984
Done: 170000 / 200000. Loss: 0.0914
Done: 180000 / 200000. Loss: 0.0834
Done: 190000 / 200000. Loss: 0.0719
Done: 200000 / 200000. Loss: 0.0648
