Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2457
Done: 20000 / 200000. Loss: 0.2486
Done: 30000 / 200000. Loss: 0.2296
Done: 40000 / 200000. Loss: 0.237
Done: 50000 / 200000. Loss: 0.2268
Done: 60000 / 200000. Loss: 0.2311
Done: 70000 / 200000. Loss: 0.2299
Done: 80000 / 200000. Loss: 0.228
Done: 90000 / 200000. Loss: 0.2218
Done: 100000 / 200000. Loss: 0.2247
Done: 110000 / 200000. Loss: 0.2227
Done: 120000 / 200000. Loss: 0.2266
Done: 130000 / 200000. Loss: 0.222
Done: 140000 / 200000. Loss: 0.2208
Done: 150000 / 200000. Loss: 0.2278
Done: 160000 / 200000. Loss: 0.2193
Done: 170000 / 200000. Loss: 0.2213
Done: 180000 / 200000. Loss: 0.2247
Done: 190000 / 200000. Loss: 0.2228
Done: 200000 / 200000. Loss: 0.2245
