Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3697
Done: 20000 / 200000. Loss: 0.3712
Done: 30000 / 200000. Loss: 0.371
Done: 40000 / 200000. Loss: 0.3522
Done: 50000 / 200000. Loss: 0.357
Done: 60000 / 200000. Loss: 0.353
Done: 70000 / 200000. Loss: 0.127
Done: 80000 / 200000. Loss: 0.1216
Done: 90000 / 200000. Loss: 0.1286
Done: 100000 / 200000. Loss: 0.1156
Done: 110000 / 200000. Loss: 0.1221
Done: 120000 / 200000. Loss: 0.1241
Done: 130000 / 200000. Loss: 0.1195
Done: 140000 / 200000. Loss: 0.0519
Done: 150000 / 200000. Loss: 0.0462
Done: 160000 / 200000. Loss: 0.0465
Done: 170000 / 200000. Loss: 0.0438
Done: 180000 / 200000. Loss: 0.0443
Done: 190000 / 200000. Loss: 0.0432
Done: 200000 / 200000. Loss: 0.0429
