Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3785
Done: 20000 / 200000. Loss: 0.3714
Done: 30000 / 200000. Loss: 0.3601
Done: 40000 / 200000. Loss: 0.3497
Done: 50000 / 200000. Loss: 0.341
Done: 60000 / 200000. Loss: 0.321
Done: 70000 / 200000. Loss: 0.3023
Done: 80000 / 200000. Loss: 0.2876
Done: 90000 / 200000. Loss: 0.2613
Done: 100000 / 200000. Loss: 0.2399
Done: 110000 / 200000. Loss: 0.2208
Done: 120000 / 200000. Loss: 0.1829
Done: 130000 / 200000. Loss: 0.1597
Done: 140000 / 200000. Loss: 0.1349
Done: 150000 / 200000. Loss: 0.1162
Done: 160000 / 200000. Loss: 0.0927
Done: 170000 / 200000. Loss: 0.0745
Done: 180000 / 200000. Loss: 0.0654
Done: 190000 / 200000. Loss: 0.0608
Done: 200000 / 200000. Loss: 0.0576
