Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3788
Done: 20000 / 200000. Loss: 0.3828
Done: 30000 / 200000. Loss: 0.3728
Done: 40000 / 200000. Loss: 0.2464
Done: 50000 / 200000. Loss: 0.2481
Done: 60000 / 200000. Loss: 0.2347
Done: 70000 / 200000. Loss: 0.1385
Done: 80000 / 200000. Loss: 0.1364
Done: 90000 / 200000. Loss: 0.1382
Done: 100000 / 200000. Loss: 0.1399
Done: 110000 / 200000. Loss: 0.1365
Done: 120000 / 200000. Loss: 0.1334
Done: 130000 / 200000. Loss: 0.1317
Done: 140000 / 200000. Loss: 0.0646
Done: 150000 / 200000. Loss: 0.063
Done: 160000 / 200000. Loss: 0.0605
Done: 170000 / 200000. Loss: 0.0607
Done: 180000 / 200000. Loss: 0.06
Done: 190000 / 200000. Loss: 0.0581
Done: 200000 / 200000. Loss: 0.0572
