Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3843
Done: 20000 / 200000. Loss: 0.3805
Done: 30000 / 200000. Loss: 0.3691
Done: 40000 / 200000. Loss: 0.3733
Done: 50000 / 200000. Loss: 0.3723
Done: 60000 / 200000. Loss: 0.3708
Done: 70000 / 200000. Loss: 0.3678
Done: 80000 / 200000. Loss: 0.3691
Done: 90000 / 200000. Loss: 0.361
Done: 100000 / 200000. Loss: 0.3684
Done: 110000 / 200000. Loss: 0.3709
Done: 120000 / 200000. Loss: 0.3707
Done: 130000 / 200000. Loss: 0.3709
Done: 140000 / 200000. Loss: 0.3628
Done: 150000 / 200000. Loss: 0.376
Done: 160000 / 200000. Loss: 0.3658
Done: 170000 / 200000. Loss: 0.3726
Done: 180000 / 200000. Loss: 0.3733
Done: 190000 / 200000. Loss: 0.3578
Done: 200000 / 200000. Loss: 0.3569
