Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2755
Done: 20000 / 200000. Loss: 0.2501
Done: 30000 / 200000. Loss: 0.2513
Done: 40000 / 200000. Loss: 0.2425
Done: 50000 / 200000. Loss: 0.249
Done: 60000 / 200000. Loss: 0.2491
Done: 70000 / 200000. Loss: 0.2495
Done: 80000 / 200000. Loss: 0.2235
Done: 90000 / 200000. Loss: 0.2338
Done: 100000 / 200000. Loss: 0.2197
Done: 110000 / 200000. Loss: 0.2416
Done: 120000 / 200000. Loss: 0.2495
Done: 130000 / 200000. Loss: 0.2311
Done: 140000 / 200000. Loss: 0.2226
Done: 150000 / 200000. Loss: 0.2324
Done: 160000 / 200000. Loss: 0.2438
Done: 170000 / 200000. Loss: 0.2331
Done: 180000 / 200000. Loss: 0.2329
Done: 190000 / 200000. Loss: 0.2352
Done: 200000 / 200000. Loss: 0.2451
