Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.31
Done: 20000 / 200000. Loss: 0.2988
Done: 30000 / 200000. Loss: 0.3097
Done: 40000 / 200000. Loss: 0.3229
Done: 50000 / 200000. Loss: 0.3208
Done: 60000 / 200000. Loss: 0.2975
Done: 70000 / 200000. Loss: 0.3168
Done: 80000 / 200000. Loss: 0.2835
Done: 90000 / 200000. Loss: 0.3048
Done: 100000 / 200000. Loss: 0.2732
Done: 110000 / 200000. Loss: 0.2618
Done: 120000 / 200000. Loss: 0.2719
Done: 130000 / 200000. Loss: 0.2893
Done: 140000 / 200000. Loss: 0.2649
Done: 150000 / 200000. Loss: 0.2741
Done: 160000 / 200000. Loss: 0.2645
Done: 170000 / 200000. Loss: 0.2697
Done: 180000 / 200000. Loss: 0.2745
Done: 190000 / 200000. Loss: 0.2799
Done: 200000 / 200000. Loss: 0.2709
