Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3683
Done: 20000 / 200000. Loss: 0.3657
Done: 30000 / 200000. Loss: 0.3718
Done: 40000 / 200000. Loss: 0.2335
Done: 50000 / 200000. Loss: 0.2357
Done: 60000 / 200000. Loss: 0.2226
Done: 70000 / 200000. Loss: 0.1226
Done: 80000 / 200000. Loss: 0.1201
Done: 90000 / 200000. Loss: 0.122
Done: 100000 / 200000. Loss: 0.1239
Done: 110000 / 200000. Loss: 0.1209
Done: 120000 / 200000. Loss: 0.1189
Done: 130000 / 200000. Loss: 0.1192
Done: 140000 / 200000. Loss: 0.0505
Done: 150000 / 200000. Loss: 0.0492
Done: 160000 / 200000. Loss: 0.0459
Done: 170000 / 200000. Loss: 0.0454
Done: 180000 / 200000. Loss: 0.0434
Done: 190000 / 200000. Loss: 0.0405
Done: 200000 / 200000. Loss: 0.0415
