Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3749
Done: 20000 / 200000. Loss: 0.3699
Done: 30000 / 200000. Loss: 0.3714
Done: 40000 / 200000. Loss: 0.3779
Done: 50000 / 200000. Loss: 0.3787
Done: 60000 / 200000. Loss: 0.369
Done: 70000 / 200000. Loss: 0.1442
Done: 80000 / 200000. Loss: 0.1385
Done: 90000 / 200000. Loss: 0.1374
Done: 100000 / 200000. Loss: 0.1362
Done: 110000 / 200000. Loss: 0.1366
Done: 120000 / 200000. Loss: 0.1474
Done: 130000 / 200000. Loss: 0.1331
Done: 140000 / 200000. Loss: 0.0663
Done: 150000 / 200000. Loss: 0.0635
Done: 160000 / 200000. Loss: 0.0641
Done: 170000 / 200000. Loss: 0.0606
Done: 180000 / 200000. Loss: 0.0594
Done: 190000 / 200000. Loss: 0.0606
Done: 200000 / 200000. Loss: 0.0607
